keyword,pool,family,scenario,pilot_selected,pilot_order,source,validation_status,search_volume_30d,trend_90d_pct,cpc_usd,conversion_rate,purchase_count_30d,spr,title_density,top3_purchase_share,avg_price,avg_review_count,notes
cell phone crossbody bag,MAINSTREAM,crossbody,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
anti theft crossbody purse,MAINSTREAM,crossbody,travel,NO,,plan,NEEDS_DATA,,,,,,,,,,,
lightweight travel purse,MAINSTREAM,travel,travel,NO,,plan,NEEDS_DATA,,,,,,,,,,,
evening clutch for women,MAINSTREAM,clutch,evening,NO,,plan,NEEDS_DATA,,,,,,,,,,,
wedding clutch purse,MAINSTREAM,wedding,wedding,YES,4,plan,NEEDS_DATA,,,,,,,,,,,
clear concert purse,MAINSTREAM,concert,concert,NO,,plan,NEEDS_DATA,,,,,,,,,,,
crescent crossbody bag,MAINSTREAM,crescent,everyday,YES,2,plan,NEEDS_DATA,,,,,,,,,,,
top handle satchel purse,MAINSTREAM,top_handle,work,NO,,plan,NEEDS_DATA,,,,,,,,,,,
mini tote bag for women,MAINSTREAM,tote,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
everyday purse for women,MAINSTREAM,everyday,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
y2k shoulder bag,STYLE,y2k,y2k,YES,6,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
y2k purse,STYLE,y2k,y2k,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
2000s handbag,STYLE,y2k,y2k,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
retro baguette bag for women,STYLE,retro,retro,NO,,final_dedup,NEEDS_DATA,,,,,,,,,,,
metallic shoulder bag,STYLE,metallic,statement,NO,,plan,NEEDS_DATA,,,,,,,,,,,
silver metallic purse,STYLE,metallic,statement,NO,,plan,NEEDS_DATA,,,,,,,,,,,
denim shoulder bag,STYLE,denim,y2k,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
denim purse for women,STYLE,denim,y2k,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
cute purse for women,STYLE,cute,cute,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
kawaii purse,STYLE,kawaii,cute,YES,7,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
bow purse,STYLE,bow,coquette,NO,,plan,NEEDS_DATA,,,,,,,,,,,
bow shoulder bag,STYLE,bow,coquette,NO,,plan,NEEDS_DATA,,,,,,,,,,,
heart shaped purse,STYLE,shaped,novelty,YES,8,plan,NEEDS_DATA,,,,,,,,,,,
heart crossbody bag,STYLE,shaped,novelty,NO,,plan,NEEDS_DATA,,,,,,,,,,,
animal shaped purse,STYLE,shaped,novelty,NO,,plan,NEEDS_DATA,,,,,,,,,,,
novelty purse for women,STYLE,novelty,novelty,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
weird purse,STYLE,weird,novelty,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
funky shoulder bag,STYLE,funky,statement,NO,,plan,NEEDS_DATA,,,,,,,,,,,
statement handbag,STYLE,statement,statement,NO,,plan,NEEDS_DATA,,,,,,,,,,,
shaped crossbody bag,STYLE,shaped,novelty,NO,,plan,NEEDS_DATA,,,,,,,,,,,
ita bag,STYLE,ita,ita,YES,9,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
ita shoulder bag,STYLE,ita,ita,NO,,user_scope_update,NEEDS_DATA,,,,,,,,,,,
pins display bag,STYLE,ita,ita,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
clear window ita bag,STYLE,ita,ita,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
goth purse,STYLE,goth,gothic,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
gothic handbag,STYLE,goth,gothic,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
gothic crossbody bag,STYLE,goth,gothic,YES,10,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
lolita handbag,STYLE,lolita,lolita,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
lolita purse,STYLE,lolita,lolita,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
grunge shoulder bag,STYLE,grunge,grunge,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
coquette purse,STYLE,coquette,coquette,NO,,plan,NEEDS_DATA,,,,,,,,,,,
coquette bow bag,STYLE,coquette,coquette,NO,,plan,NEEDS_DATA,,,,,,,,,,,
cottagecore purse,STYLE,cottagecore,cottagecore,NO,,plan,NEEDS_DATA,,,,,,,,,,,
lace handbag,STYLE,lace,coquette,NO,,plan,NEEDS_DATA,,,,,,,,,,,
crochet shoulder bag,STYLE,crochet,cottagecore,NO,,plan,NEEDS_DATA,,,,,,,,,,,
crochet purse,STYLE,crochet,cottagecore,NO,,plan,NEEDS_DATA,,,,,,,,,,,
star shaped purse,STYLE,shaped,novelty,NO,,plan,NEEDS_DATA,,,,,,,,,,,
moon shaped purse,STYLE,shaped,novelty,NO,,plan,NEEDS_DATA,,,,,,,,,,,
flower shaped purse,STYLE,shaped,novelty,NO,,plan,NEEDS_DATA,,,,,,,,,,,
plush purse,STYLE,plush,cute,NO,,plan,NEEDS_DATA,,,,,,,,,,,
